קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
חרוסת,רטבים וממרחים,"ק""ג",60,7.89,100.0
טרגון,עלים ותבלינים טריים,יח' באריזה,95,7.61,100.0
תה בריאות,תה,"ק""ג",223,7.23,96.44
משחות ניקוי כלים,שטיפת כלים,"ק""ג",249,6.55,100.0
תחליף קפה,קפה/קקאו,"ק""ג",150,6.32,100.0
תערובות לסלט,אורז קטניות פסטה תבשילים ותערובות,"ק""ג",214,5.73,100.0
היגיינת השיער,טיפוח השיער,יח' באריזה,103,5.71,100.0
חמאה מעדניה,מעדניה חלבית,"ק""ג",70,4.94,100.0
בעלי כנף טריים,קצביה הודו/בעלי כנף טרי,"ק""ג",51,4.93,100.0
אורגנו,עלים ותבלינים טריים,"ק""ג",211,4.44,100.0
ניקוי הפנים רגיל,טיפוח פנים,ליטר,162,4.36,100.0
תה פירות,תה,"ק""ג",1208,3.85,100.0
קרם פנים לגבר,טיפוח פנים,ליטר,91,2.99,100.0
בירה לבנה בחבית,בירה לבנה,ליטר,110,2.22,100.0
סלטים וממרחים טבעוניים,סלטים ארוזים,"ק""ג",51,2.16,100.0
עלים לבישול אחרים,עלים ותבלינים טריים,יח' באריזה,74,2.1,100.0
שיבה,עלים ותבלינים טריים,"ק""ג",187,1.94,100.0
תה אריזת שי,תה,"ק""ג",215,1.9,100.0
תה פרימיום,תה,"ק""ג",257,1.82,100.0
עישבי תיבול אחרים,עלים ותבלינים טריים,"ק""ג",45,1.45,100.0
משקה חליטת צמחים,משקאות לא אלכוהולים,ליטר,14,0.51,100.0
תה אדום,תה,"ק""ג",24,0.44,100.0
אבקות תה,תה,"ק""ג",20,0.35,100.0
פירות ים טריים,קצביה דגים טריים,"ק""ג",1,0.03,100.0
