sample,weighted,control,phase,term,measure,coef_pct,F,p
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ענקיות,HHI,2.16943264402629,2.0750855604285943,0.0009107658709165905
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ייבוא,CR3 ללא מאגדים,1.117468130320927,3.423199510692619,1.6719308122002984e-08
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ייבוא,CR3 עם מאגדים,1.0091848534474326,3.3178577857275338,4.043050541857397e-08
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ייבוא,HHI,1.041281074261527,3.3285255757108643,3.697462417899817e-08
ללא בשר ועוף,True,False,כל התקופה,ריכוזיות,CR3 ללא מאגדים,0.31273796052423003,5.9343145340737555,4.91106849462441e-23
ללא בשר ועוף,True,False,כל התקופה,ריכוזיות,CR3 עם מאגדים,0.013678386588495168,4.870794429996027,3.0076886699988865e-18
ללא בשר ועוף,True,False,כל התקופה,ריכוזיות,HHI,-0.3715934035694684,4.077784898958819,1.7257138767654192e-14
ללא בשר ועוף,True,False,כל התקופה,ענקיות,CR3 ללא מאגדים,1.7699510376287055,3.1011960615250755,1.050781735868604e-09
ללא בשר ועוף,True,False,כל התקופה,ענקיות,CR3 עם מאגדים,2.095125279252739,3.1172681402254616,8.754849773912676e-10
ללא בשר ועוף,True,False,כל התקופה,ענקיות,HHI,2.373759235780992,2.966257434280753,4.857647368878125e-09
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-0.26935771036512907,4.48684131882281,2.494027042046193e-09
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.2273130322364406,3.104795941288245,1.2125452337329568e-05
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ריכוזיות,HHI,-0.23433446556554008,3.369252090575967,2.4329420833525346e-06
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.3199275963090356,2.9378493964857135,3.306815027923829e-05
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-0.4182578548554813,3.0868088811371943,1.3515753807484559e-05
ללא בשר ועוף,True,False,פיחות 2/22-10/23,ענקיות,HHI,-0.4414915255226342,3.019237349118079,2.0301505069773755e-05
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,0.6831624783629129,4.304782912744198,1.0327455489310336e-11
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,0.16703656220436336,3.118201687818384,2.143881128230206e-07
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.458940000481059,3.5448626142051616,6.021535316543893e-09
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,3.099873804679995,2.467538043477875,4.392308632795157e-05
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,3.6945509100488794,2.379607053484096,8.807386917044156e-05
ללא בשר ועוף,True,False,ייסוף 11/23-7/26,ענקיות,HHI,4.165282447519663,1.8821431486368658,0.0036987397843971336
ללא בשר ועוף,True,True,כל התקופה,ריכוזיות,CR3 ללא מאגדים,0.14923293920483002,4.701168977858777,1.8598624085253855e-17
ללא בשר ועוף,True,True,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.15872801718721974,4.773169070492507,8.565013415822784e-18
ללא בשר ועוף,True,True,כל התקופה,ריכוזיות,HHI,-0.6192771358628878,4.1853504470142076,5.232425040760573e-15
ללא בשר ועוף,True,True,כל התקופה,ענקיות,CR3 ללא מאגדים,1.8049449917231772,3.0748485582663507,1.4171962663274086e-09
ללא בשר ועוף,True,True,כל התקופה,ענקיות,CR3 עם מאגדים,2.0633127033861913,3.0813748349005836,1.3159893110518891e-09
ללא בשר ועוף,True,True,כל התקופה,ענקיות,HHI,2.332942468187971,2.9366676848525524,6.792423335295652e-09
