ctg,imp_share_v3,rev_resolved,rev_total,resolved_pct
טחינה גולמית,6.788152511248337,11.33759641082075,13.4720931096155,84.15616132231682
טרגון,0.0,0.00273988065011,0.13702071179927,1.9996105801317239
יוגורט,17.678108766381474,63.12805947115782,64.47220869602401,97.91514940770273
יין אדום,8.085107298375942,25.459066347269967,27.176782131183003,93.6794732517574
יין לבן,17.732216338009767,9.270431246705256,9.808644741390179,94.51286585583237
יין רוזה,17.77821521194392,1.3663119794780478,1.5488119836740537,88.21677478482032
יינות מתוקים,0.8633698641758166,2.402684872305177,2.51116822425942,95.67996477072991
יינות תירוש,8.659413202777628,10.364996699821937,13.276283470606744,78.07152297380286
ירקות קפואים,7.4516700996755185,40.59893260339271,52.41616604556594,77.45498319754944
ירקות שטופים אחרים,0.28697605699979745,2.839158794755064,4.903517033566925,57.90045747408769
כבש קפוא,39.25586184796648,0.4447498244339311,0.5902687888861079,75.3470000121835
כוסברה,0.0,2.5701332527157885,8.736733090671628,29.417554891999252
כלים חד פעמים,89.59879465935819,31.459824462357513,46.8775288276989,67.11067167808683
כרוב חתוך,0.0,0.9019685729686797,1.0918311357086186,82.61062937935777
כריכים,0.47916258343362694,3.960139678531153,4.299633684629483,92.10411790864957
לאבנה מעדניה,0.0,0.5132787716797793,0.5818428028607278,88.21605580685335
לוף/פרסה,0.0,0.6667091596565076,2.034112976561756,32.77640757119796
לחם ארוז מיוחד,0.6944399013363356,42.86259684530236,48.006773559597505,89.28447730837615
לחם חשוף,0.005190376155367107,5.1607930479773145,6.119518458397491,84.33331941168396
לחם מפוקח ארוז,0.11909172084310839,13.379800797198108,15.693908813241917,85.25473772288487
לחמניות ארוזות,1.29324076984412,17.930751836868616,20.479508024444907,87.55460246147503
לקטים לסלט,0.0,2.3483323458228513,3.5227958644221555,66.6610395890211
לקקנים,52.2054370966819,1.4694702009755787,1.7562186628307639,83.67239410877292
מברשות שיניים,91.03072530320459,12.253875541856397,13.85032647527298,88.47355016311903
מגבונים לחים,29.887282282803522,19.872595842858978,30.343872026069885,65.491298624597
מגבות נייר,2.8783230505956987,20.16626750397926,27.767897304155046,72.62439529752108
מוצרי אפטר שייב,56.96286137380423,0.3884338209761092,0.40352789916450466,96.25947097594803
מוצרי אקונומיקה,7.764029359275218,7.73244439979485,9.285325519072885,83.27596468117052
מוצרי בצק טרי,0.0,2.0898886372101324,2.1691145656550974,96.34754522885066
מוצרי בשר על האש,40.31687373709523,17.86298214316044,20.078079035898853,88.96758555050062
מוצרים לטיפול בשיער,2.557968755819875,0.9147895308540904,0.9795523548778856,93.38852857621187
מוצרלה טרייה,2.7563232948877814,2.4400263711497647,2.8408041387919125,85.89210138884887
מזון תינוקות/ילדים אחר,80.68216201415869,1.940361975319187,2.6302709679103895,73.77042133650212
מחיות לתינוק,31.105110590491165,2.824268054366342,3.523857449778438,80.14705743967927
מיונז,39.87403334415361,15.353161332077804,16.452742401732664,93.31673077468798
מיכלי שמנת מתוקה,5.374834062354892,28.231993427400305,29.330734625421652,96.25395949998115
מים בבקבוק,6.4019485084131995,35.5216597350164,36.17687138622725,98.18886590767966
מים מוגזים,94.04492400642114,2.4317637301822144,2.4740739484562146,98.28985636017867
מים מועשרים,32.0767770522156,6.403232224092372,6.520928102304353,98.19510541497323
מיץ 100% ירק,4.395594482694573,0.24665916307659685,0.33043335279023367,74.64717498816819
מיץ 100% פרי,22.115459389140906,1.3682759652719318,1.7361256003660703,78.81203784930217
מיץ טבעי סחוט מקורר,0.03771037565115573,12.648724814057696,12.648756814057695,99.99974701071046
ממרחים מצוננים,4.664446392949263,4.9359942306338915,5.942159571049458,83.06734566137098
ממרחים מתוקים,58.24774636977993,23.26970913809575,24.886308228188604,93.50406225274611
ממרחים שאינם מתוקים,7.562440263676963,1.5619757778439776,2.226077107753992,70.16719108260982
מסטיקים ללא סוכר,77.31997978040752,18.161611721056282,18.31143041559197,99.18182964882895
מסטיקים עם סוכר,86.13363373870486,0.38684033900698794,0.4443579063717405,87.05602701336103
מסירי אבנית וניקוי מכונות כביסה,66.16545113108594,0.388301028072836,0.394635938072836,98.39474579255608
מסירי כתמים,60.94164599526191,7.167440799648578,7.240653794294981,98.98886210104274
מעדנים,0.2990916602835539,34.91735324199167,35.27239215469515,98.99343681838653
מצות,7.891287141772092,0.22397766430352756,0.30606159010355405,73.1805857205885
מרגרינה,70.63765701333047,4.932925263199113,5.051748238088452,97.64788407321144
מרווה,0.0,0.03151196698795813,0.08427911454199918,37.3900071912296
מרכך כביסה,6.624130059671721,30.506488312577673,32.22391027526013,94.67034897995912
מרכך שיער,44.3460068835183,9.390650373738536,10.030475730449595,93.62118633347832
משחות ניקוי כלים,82.72328202925344,0.18717084552790006,0.1871708455279001,99.99999999999999
משחות שיניים,88.10587380408496,23.183208450756084,24.639353114893357,94.09016682642897
משקאות ברנדי/קוניאק,55.00771979112182,2.0677348883556084,2.928502200877916,70.60725061895927
משקאות וודקה,91.7199502095189,11.463644268216893,11.922637278732415,96.15023924837273
משקאות וויסקי,94.02920771536701,10.825196736485157,11.8409366151543,91.42179447722762
משקאות חלב,0.006822031981668768,18.933164429581716,18.99479045134275,99.6755635608674
משקאות חמוציות,63.489203808088625,1.0037865037965412,1.0150222677438105,98.89305246748485
משקאות טקילה,86.70149209109853,0.2257568140878596,0.22575681408785958,100.00000000000001
משקאות מוגזים טעמי פירות,2.234264960939778,7.826420454035995,7.947795785324333,98.47284285395885
משקאות קלים,0.3549603492885864,21.112708081686776,21.593744065161975,97.77233636731265
משקאות תחליפי חלב מצונן,0.8666584213357016,11.360942974282858,11.360942974282858,100.0
