ctg,dep,rev,fx_v2,fx_dom,fx_imp,imp_share,unk_share,identified,n_pairs,simple_score,complex_score
קצביה טרי ארוז,קצביה בשרית טרי,28.577151924613396,38.94180825403174,34.74,54.0,0.0,0.0,18.651604331542377,3,15.0,14.999999999999998
קציצות מן הצומח,מזון מוכן קפוא מן הצומח,203.7608691580625,45.10528980810571,35.64,46.800000000000004,78.55782075413613,6.499192459065212,92.6231840112686,18,55.0,73.55370516346845
קצפות,מוצרי חלב ותחליפיו,40.85689679942087,48.75,10.200000000000001,48.75,99.86895121320238,0.0,99.86895121320238,3,15.0,62.898276666424
קרם עיניים,טיפוח פנים,8.708358815267001,33.71590830706957,20.636000000000003,36.85,53.12533908054735,33.39364107324598,65.85476194710245,5,55.0,55.0
קרם פנים,טיפוח פנים,87.88219137401452,36.1599173378792,20.636000000000003,36.85,61.76755247597151,31.25853533842832,64.51329738800464,18,55.0,54.99999999999999
קרם פנים לגבר,טיפוח פנים,3.582790330891658,36.85,20.636000000000003,36.85,95.81440538786872,0.0,95.81440538786872,4,55.0,79.0
קרקרים,מאפים מתוקים ומלוחים,911.3105435954645,31.647417866398612,31.390000000000004,49.64,1.3100012075248482,3.6363166023086415,92.87436949037549,34,55.0,55.27958923919984
רוזמרין,עלים ותבלינים טריים,13.504359662556032,8.941750503670002,8.84,40.8,0.0,0.0,29.39272435394442,5,15.0,14.999999999999996
רוקט,עלים ותבלינים טריים,22.384076920620004,13.035478201476401,8.84,40.8,0.0,18.780247695869313,10.29175843273289,6,15.0,15.000000000000002
ריבות/קונפיטורות,רטבים וממרחים,352.9591330713301,39.03356040652931,28.105,47.45,50.007865159014095,6.689961251658691,88.52054758494542,36,55.0,66.19451061642077
שום מצונן/בצל מטוגן,סלטים ארוזים,38.10525978964975,44.896748890769686,21.240000000000002,46.800000000000004,57.55846864156621,33.83541815117962,62.1892072013521,16,15.0,42.66758945908796
שוקו,קפה/קקאו,444.5507667030699,38.44031241428045,37.44,46.800000000000004,9.644786117529991,4.9722798870501785,90.24700360738662,36,55.0,57.68569487849429
