mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
אמריקן סוי פרודקטס,פיצוחים,פיצוחים ופירות יבשים ארוזים,0.06892972705666364,0.65,0.85,0.27,0.75,IMP,0.6225,TRADER,0.85,0.85,0.6228855110094634,85.0
לייב,פירות יבשים,פיצוחים ופירות יבשים ארוזים,0.00957489560282,0.65,0.85,0.27,0.75,UNK,0.6225,,0.75,0.6771964817682163,0.2893872494341037,67.71964817682164
שורי אינטרפודס,קפה טורקי,קפה/קקאו,0.05304083798920697,0.45,1.0,0.28,0.65,UNK,0.52,,0.65,0.5301094666792054,0.934930439526256,53.01094666792054
ברבורי טראפה,טבלאות שוקולד חלב בודד,שוקולד טבלאות,0.15234136394559997,0.55,0.12,0.28,0.65,UNK,0.136,,0.65,0.3040670104362988,0.7612756126765999,30.40670104362988
ברבורי טראפה,טבלאות שוקולד מריר בודד,שוקולד טבלאות,0.16205472825253994,0.45,0.9,0.28,0.65,UNK,0.47500000000000003,,0.65,0.5124749410165143,0.7150277300051927,51.24749410165143
טמי,שימורי זיתים ירוקים/מיקס,שימורים,2.885200678722043,0.55,0.8,0.25,0.7,UNK,0.51,,0.7,0.5118550760543832,0.7490897061176109,51.18550760543832
דיפלומט,שימורי זיתים שחורים,שימורים,0.1625456398596829,0.55,0.8,0.25,0.7,IMP,0.51,BRAND,0.6,0.6,0.8880292487891583,60.0
ג. וילי פוד,שימורי טונה,שימורים,0.09998100180278047,0.6,1.0,0.25,0.7,IMP,0.6699999999999999,TRADER,0.82,0.82,0.8827025543529607,82.0
זנלכל,שימורי פיטריות,שימורים,0.19493970953587694,0.55,0.8,0.25,0.7,DOM,0.51,,0.7,0.51,0.7683971185805557,51.0
"פוגל תעשיות מזון בע""מ",שמן זית,שמנים,0.07576312,0.7,0.55,0.22,0.8,UNK,0.455,,0.8,0.555089161290045,0.5490173683917102,55.508916129004504
נייצ'רל אפקט,תבלינים במיכל,תבלינים,0.01716387,0.5,0.85,0.3,0.68,UNK,0.495,,0.68,0.523980692235371,0.6828105174657801,52.3980692235371
יצרן לא ידוע,תה שחור טהור,תה,0.185145005,0.35,0.9,0.28,0.62,BUCKET,0.385,,0.62,0.3851402329614952,0.9108580688990863,38.51402329614952
סילקו,כלים חד פעמים,אביזרים לארוח,0.0043724037657232005,0.6,0.95,0.3,0.7,UNK,0.6399999999999999,,0.7,0.7396515100906953,0.5874690248238688,73.96515100906953
אקסטרא פוד בעמ,אורז,אורז קטניות פסטה תבשילים ותערובות,0.2039983402462,0.6,0.95,0.25,0.75,UNK,0.6399999999999999,,0.75,0.6835614028272274,0.8287817827648105,68.35614028272275
מרלד חברה למסחר,אורז,אורז קטניות פסטה תבשילים ותערובות,0.2808077758432339,0.6,0.95,0.25,0.75,IMP,0.6399999999999999,TRADER,0.85,0.85,0.8287817827648105,85.0
שוקו פאן,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,0.4561325346619485,0.45,0.85,0.28,0.65,UNK,0.4525,,0.65,0.48886369613387104,0.9800038830019567,48.8863696133871
"קרוקוס פרו בע""מ",בירה לבנה בודד,בירה לבנה,0.12595303879359,0.35,0.6,0.25,0.65,UNK,0.28,,0.65,0.3036738449133947,0.8559087445341538,30.36738449133947
נחמיה לחוביץ,כבש קפוא,בשר ועוף קפוא,0.28246298317836,0.75,0.85,0.27,0.78,UNK,0.7075,,0.78,0.801882613082625,0.9300794860975711,80.1882613082625
מוחמד נעמה,דגנים,דגנים ודגנים מיוחדים,0.13369520085387054,0.45,0.9,0.27,0.68,UNK,0.47500000000000003,,0.68,0.5197895325966448,0.9183060278612357,51.978953259664486
אפיפית,בייגלה,חטיפים מלוחים,0.15748009662213722,0.4,0.7,0.28,0.65,UNK,0.35,,0.65,0.37227638686595105,0.7953678108353943,37.22763868659511
יצרן לא ידוע,היגיינת השיער,טיפוח השיער,2.0765135183000005,0.3,0.8,0.33,0.55,BUCKET,0.31,,0.55,0.4050124017840513,0.14431935587171263,40.501240178405126
פרולטה,שמפו,טיפוח השיער,0.05064352348094211,0.3,0.8,0.33,0.55,UNK,0.31,,0.55,0.3751169508382241,0.8810143269938492,37.51169508382241
נחמיה לחוביץ,ירקות קפואים,ירקות ופירות קפואים,0.061638138375679996,0.55,0.55,0.27,0.7,UNK,0.37250000000000005,,0.7,0.4366721250945714,0.7264076393748841,43.66721250945714
