ctg,dep,rev,fx_v3,p_imp,direct
פירות קפואים,ירקות ופירות קפואים,68.1440368895398,41.987858627370606,14.443827460162487,73.65943058367984
פיתות ארוזות,לחם ותחליפיו,418.6313222562026,42.236512856451064,9.148462342175716,78.5841968136803
פסטה,אורז קטניות פסטה תבשילים ותערובות,279.2898748077385,69.8285923107211,49.53070561564166,81.7433052920016
פסטרמות ונקניקים ארוזים,מזון מקורר ארוז,433.5661833091909,29.58607419034186,0.24246250800522834,94.0345349514464
פתי בר,מאפים מתוקים ומלוחים,136.8645870426343,44.41202060715912,5.646948118402393,83.63181804909318
פתיתים,אורז קטניות פסטה תבשילים ותערובות,71.94106279714948,64.42202779375604,2.935087016461568,91.3056693587215
קוטג,מוצרי חלב ותחליפיו,542.8994360850122,14.186703987502089,1.141447446502115,100.0
קוסקוס,אורז קטניות פסטה תבשילים ותערובות,61.384678558820816,68.15272403100445,37.75203664549523,90.27198018289454
קופסאות שימורי בשר,שימורים,2.436335515294995,54.31518024206831,14.430552248678351,20.642306946087352
קורנית,עלים ותבלינים טריים,2.979567752131416,17.9400238328073,10.510689005972983,77.10892630274657
קטניות,אורז קטניות פסטה תבשילים ותערובות,175.86358925243843,66.44173809159622,32.2839787213778,76.15116850393338
קטשופ,רטבים וממרחים,126.40490965409433,45.63114409499183,32.939296366968044,98.6400935497031
קמח,עזרי אפייה ובישול,321.63942567149905,43.9478914325223,4.590321629487266,66.16545049524038
קפה אספרסו,קפה/קקאו,185.0577350763232,58.91096015800725,44.5694788681714,88.33716006182577
קפה טורקי,קפה/קקאו,313.51876594074974,52.25574718240082,1.7319679411391442,95.86875649392609
קפה נמס,קפה/קקאו,438.3166549553333,59.987584292918406,65.50591782830676,98.01837458093996
קצביה טרי ארוז,קצביה בשרית טרי,3.9455320493377246,48.91426186025954,2.483221907512266,59.516059531993534
קציצות מן הצומח,מזון מוכן קפוא מן הצומח,48.2061258035086,52.31805672284894,24.32066790182592,92.22686621085869
קצפות,מוצרי חלב ותחליפיו,7.800394286396068,65.00980523030252,91.5770825125813,100.0
קרם עיניים,טיפוח פנים,0.9655029274382834,46.949996227706784,76.59964494728216,100.0
קרם פנים,טיפוח פנים,14.277156804463477,51.05405726715643,98.24354402632305,93.17926818505501
קרם פנים לגבר,טיפוח פנים,1.603738654992491,50.46753589990154,100.0,90.64928200196908
קרקרים,מאפים מתוקים ומלוחים,197.90240460560997,44.05890617967214,4.235624718688519,94.82440093120879
רוזמרין,עלים ותבלינים טריים,2.1368034489914427,18.78074019228128,12.299447217619738,70.41326237570425
רוקט,עלים ותבלינים טריים,3.28989600146915,21.228447307628382,17.507334697081667,75.40513971752709
ריבות/קונפיטורות,רטבים וממרחים,77.18237179199326,53.5218400890398,57.85808269275668,81.91779491873156
שום מצונן/בצל מטוגן,סלטים ארוזים,7.851977412580657,38.55249518985178,22.488856505313425,77.1764898894766
שוקו,קפה/קקאו,79.51616486150998,52.87266248001944,8.449037496903086,90.31043843977477
שוקולד טבלאות מאגדת,שוקולד טבלאות,143.17216575215997,50.77219297002282,18.167152180931375,84.51789720136411
שטיפות פה,היגיינת הפה,65.05897622292296,47.91065277116081,82.47238079665932,94.68673875756666
שיבה,עלים ותבלינים טריים,0.34753953732964465,28.17887582246264,32.29548047332477,100.00000000000001
שימורי דגים,שימורים,96.63659783876385,69.25688174481465,69.75162377856462,53.21617096025335
שימורי זיתים ירוקים/מיקס,שימורים,156.90596605760416,51.265924425637685,1.5025760426464154,85.0928274131566
שימורי זיתים שחורים,שימורים,31.18425598735043,53.9776732200944,15.75243375242516,90.11179477822024
שימורי טונה,שימורים,622.3881871572834,68.86234069076716,79.6870362254463,91.88767565893734
שימורי ירקות,שימורים,185.77581304322905,54.67331382977928,18.920709547048187,83.00184236923702
שימורי ירקות כבושים,שימורים,30.247006387207495,54.508339897667085,16.221607138983835,71.2027008951284
שימורי מלפפונים,שימורים,182.7072186981362,51.614628161133055,3.0166627670450943,80.63463793005255
שימורי עגבניות,שימורים,323.2197685873547,56.643680275109325,29.69674449404684,78.27209721201633
