sample,weighted,spec,term,phase,b,se,pc,F,pj
פאנל מלא,True,בלי רכיב הענקיות,ייבוא,לפני 2025,1.3938899779777132,0.5596911926908733,0.012757692529323567,4.256297895754105,1.966921810839819e-12
פאנל מלא,True,בלי רכיב הענקיות,ייבוא,מ־2025 ואילך,0.1642266521285301,0.37559053723080177,0.6619306511938148,4.360340040628352,2.952430207283126e-08
פאנל מלא,True,עם ענקית ≥20%,ריכוזיות,כל התקופה,-0.025615755707204434,0.5153995956574847,0.9603608444790344,4.009097265685929,1.4256515181743973e-14
פאנל מלא,True,עם ענקית ≥20%,ריכוזיות,לפני 2025,-0.04444262894062901,0.6898959773382284,0.9486363477533303,2.1077926445610893,0.00043725128639699026
פאנל מלא,True,עם ענקית ≥20%,ריכוזיות,מ־2025 ואילך,0.012037990759644743,0.5557402123812879,0.9827182275228495,2.0153180670391637,0.00927314696038341
פאנל מלא,True,עם ענקית ≥20%,ייבוא,כל התקופה,0.9036070925380689,0.41263911382295754,0.028536993305574077,9.54654324515155,8.74238098683935e-39
פאנל מלא,True,עם ענקית ≥20%,ייבוא,לפני 2025,1.2091958397857463,0.6094026702528449,0.04723006310906901,5.144000240703126,6.673229304812836e-16
פאנל מלא,True,עם ענקית ≥20%,ייבוא,מ־2025 ואילך,0.29242959804271423,0.39589138489315584,0.4601127631118832,3.427609563287585,5.542700009579612e-06
פאנל מלא,True,עם ענקית ≥20%,ענקיות,כל התקופה,-0.6456139652737921,0.8737264944637548,0.4599555881221207,6.378890666187346,6.906402591869988e-26
פאנל מלא,True,עם ענקית ≥20%,ענקיות,לפני 2025,-1.483188650265831,1.2303003762726104,0.22799103811001342,5.400737049913062,6.909916399830855e-17
פאנל מלא,True,עם ענקית ≥20%,ענקיות,מ־2025 ואילך,1.0295354047102856,1.0226670560668538,0.3140712161646192,1.9172420388061713,0.014691748282213072
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ריכוזיות,כל התקופה,-0.12873826294163673,0.4782823544788038,0.7878004714269538,4.510852584952856,4.410332191269887e-17
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ריכוזיות,לפני 2025,-0.28398256849171716,0.5982172607423659,0.6349902899578279,3.1191082910710928,6.404438148314841e-08
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ריכוזיות,מ־2025 ואילך,0.18175034815852406,0.5622361710627962,0.7464958076129722,2.375516071115364,0.0015696365984376015
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ייבוא,כל התקופה,0.9427929776556752,0.3620194281835916,0.009207268617507761,8.336973429958777,3.8441287629175277e-34
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ייבוא,לפני 2025,1.3021130128229033,0.5405422861282572,0.016000624773077718,4.368516776228074,7.089238337744203e-13
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ייבוא,מ־2025 ואילך,0.22415290732121845,0.3954672645757682,0.5708465281265926,4.535031324328738,1.1008866582005668e-08
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ענקיות,כל התקופה,-0.4100578386356288,1.0014401326025546,0.6821961355721545,3.350701193030431,3.210282033889419e-11
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ענקיות,לפני 2025,-0.913238818064433,1.315683618858997,0.4876086230354889,3.344458225306426,8.225645182466552e-09
פאנל מלא,True,עם ענקית ≥5% (להשוואה),ענקיות,מ־2025 ואילך,0.5963041202219796,1.2358661102291841,0.6294515328133,1.4935977952467185,0.09110319215374357
