yr,ctg,rev,n_named,bucket_pct,cr3
2026,גבינות שמנת במשקל,16.07,6,3.44,87.47
2026,מיץ 100% ירק,3.49,5,4.54,90.05
2026,סלט טחינה,26.89,10,7.46,84.84
2026,סלטי דגים,12.64,9,7.05,87.03
2026,עוף טרי ארוז,1012.26,30,41.75,44.74
2026,חלבה,32.55,11,5.95,88.56
2026,סילאן,32.83,18,33.73,39.93
2026,שימורי פיטריות,30.25,12,20.19,73.61
2026,שמן זית,230.71,41,50.74,21.86
2026,מרכך כביסה,210.16,15,11.04,79.47
2026,תכשירי טיפוח וניקוי תינוקות,70.77,23,62.75,18.94
2023,בעלי כנף קפואים,2.3,3,3.67,96.33
2026,תכשירי הגנה מהשמש לתינוקות,1.37,2,15.86,84.14
2022,מוצרים לטיפול בשיער,12.96,3,11.03,88.97
2026,משחות ניקוי כלים,0.68,4,,86.59
2024,בירה לבנה בודד,246.31,42,1.29,66.77
2024,בירה לבנה בקבוק חוזר,82.26,2,,100.0
2024,הודו קפוא,22.4,13,9.57,58.05
2024,חטיפי חלבון,122.89,16,18.34,43.17
2024,קרם פנים,24.22,10,5.32,76.18
2024,יינות תירוש,198.67,14,39.56,46.38
2024,וופלים,301.95,52,14.92,55.22
2024,גבינות שמנת,259.57,13,1.32,81.43
2024,סוכריות אחרות,14.35,15,6.72,78.84
2025,שטיפות פה,67.07,14,5.4,75.64
2025,פתי בר,144.0,20,17.02,75.32
2025,סכיני/מכשיר גילוח גברים,61.32,7,9.61,88.4
2025,מעדנים,652.2,7,,97.79
2025,מזון תינוקות/ילדים אחר,46.69,17,56.41,28.28
2025,מיץ 100% פרי,16.57,23,15.68,55.93
2025,סלרי עלים,95.01,27,15.64,49.42
2025,שוקו,118.28,22,9.65,86.42
2025,בשר טחון טרי,544.6,8,82.55,15.3
2025,קופסאות שימורי בשר,2.08,5,16.4,72.92
2022,משקאות תחליפי חלב עמיד,106.14,18,6.8,88.17
2022,קוטג,542.9,4,,99.99
