yr,ctg,rev,n_named,bucket_pct,cr3
2026,נוזל כלים,110.03,21,14.96,74.89
2026,תה פירות,0.69,9,1.58,61.58
2026,גלידות חבילות בית,210.24,12,0.06,87.43
2026,גבינות צהובות במשקל,345.79,6,2.41,96.61
2024,חרוסת,1.87,6,,78.51
2023,עלים לבישול אחרים,0.53,3,,100.0
2024,בעלי כנף טריים,1.34,0,100.0,0.0
2022,גלידות חבילות בית,258.87,11,3.51,86.95
2026,בירה לבנה בחבית,0.29,2,,100.0
2026,נקניקים מן הצומח,0.7,1,,100.0
2022,חיתולים,646.7,4,9.06,90.93
2026,תה בריאות,0.78,1,,100.0
2026,קרם פנים לגבר,0.12,1,,100.0
2024,בשר בקר קפוא,322.65,39,27.5,41.32
2024,מוצרי בשר על האש,346.26,36,15.28,66.87
2024,חמאה,381.12,20,4.09,87.78
2024,משקאות חלב,460.68,8,,99.25
2024,תרד,14.14,18,31.41,44.62
2024,ריבות/קונפיטורות,77.48,27,11.24,59.3
2024,טבלאות שוקולד חלב בודד,268.48,42,3.53,73.83
2025,שמפו,279.08,24,4.86,74.19
2025,שמפו+מרכך,7.41,5,8.71,85.07
2025,עוגות מדף ארוזות,138.05,38,9.69,78.31
2025,גבינות מיוחדות מדף,465.22,30,6.79,73.76
2025,יוגורט חלבון,417.26,4,,99.43
2025,מגבות נייר,402.35,9,39.69,59.99
2025,נקניקיות מן הצומח,30.01,4,,99.94
2025,מחיות לתינוק,47.89,3,2.03,97.97
2025,גבינות שמנת במשקל,29.34,6,3.81,86.86
2025,סלטי דגים,23.18,10,7.42,84.18
2025,עוף טרי ארוז,1735.38,28,42.31,42.59
2025,חלקי הודו טרי,101.97,12,43.75,44.21
2025,חלקי עוף טרי,1188.92,25,49.29,30.41
2025,ממרחים שאינם מתוקים,25.38,22,10.39,63.25
2025,חומרים למדיח,191.41,16,3.92,93.68
2025,שימורי מלפפונים,220.55,40,17.73,64.18
2022,מגבות נייר,325.08,9,31.89,65.76
2022,נקניקים יבשים,73.9,8,6.73,81.86
2022,מחיות לתינוק,50.83,7,7.88,88.05
2022,מיץ 100% ירק,5.02,10,,88.71
2022,סבון לגוף,242.63,19,6.29,78.51
2022,עוף טרי ארוז,1329.86,26,35.24,41.78
2024,בירה לבנה בחבית,0.52,2,,100.0
2024,עלי בייבי,9.49,13,54.8,28.49
2025,ניקוי הפנים רגיל,1.51,3,,100.0
2025,תכשירי הגנה מהשמש לתינוקות,2.28,2,25.11,74.89
2022,קצפות,7.8,2,,100.0
2024,קרם פנים לגבר,0.49,1,,100.0
2023,קרם פנים,20.19,12,10.06,76.06
2023,וופלים,298.38,53,15.19,54.92
2023,מוצרי אפטר שייב,4.93,4,5.75,90.28
2023,גבינת לאבנה,80.72,16,2.38,80.41
2023,חלב,1595.17,9,1.51,95.23
2023,תכשירי הגנה מהשמש למבוגרים,36.2,8,18.93,78.28
2023,כריכים,49.45,4,3.41,95.99
2023,גבינות מיוחדות במשקל,243.33,24,16.41,52.85
2023,חלקי עוף/הודו מתובל טרי ארוז,2.41,0,100.0,0.0
2023,חלקי פנים עוף/הודו טרי ארוז,56.96,12,19.71,53.24
2023,חומץ/מיץ לימון,90.88,37,7.91,72.04
2023,שימורי טונה,674.36,26,9.82,65.58
2023,פתיתים,78.28,14,12.17,82.11
2024,חטיפים מן הצומח,42.06,8,7.59,81.21
2024,שניצל  מן הצומח,143.85,7,6.81,92.3
2024,משקאות וודקה,181.07,24,31.02,41.51
2024,תכשירי טיפול לעובש ולחות,9.68,4,3.8,87.48
2024,עירית,3.52,9,22.38,51.42
2024,קפה אספרסו,213.74,22,12.99,67.07
2024,חלקי פנים עוף טרי,25.8,5,59.15,39.82
2024,שוקולד טבלאות מאגדת,205.95,11,9.55,81.77
2024,שימורי זיתים ירוקים/מיקס,183.89,20,17.06,69.47
2024,תה פירות,0.84,10,1.49,66.26
2023,משקה מוגז עדין בטעמים,34.17,1,,100.0
2023,אבקות תה,0.14,1,,100.0
2024,מסטיקים עם סוכר,7.32,6,0.19,91.72
2024,תכשירי ניקוי שטיחים,9.69,6,2.34,86.77
2022,חלקים ללא סיווג מופשר,7.08,2,74.05,25.95
2022,חלקי הודו טרי,79.27,13,49.25,40.85
2022,סילאן,39.08,20,20.2,55.66
2022,חומרים למדיח,152.58,14,0.98,97.51
2022,שמן זית,338.28,36,34.32,30.49
2022,חטיפי דגנים ופירות למבוגרים,171.63,28,5.84,68.99
2022,ניקוי הפנים רגיל,0.86,3,,100.0
2022,פירות קפואים,68.14,25,25.32,49.82
2022,קרקרים,197.9,24,5.86,88.48
2022,בצקים קפואים,119.02,36,11.07,71.29
2022,גבינות לבנות,439.1,17,0.07,98.34
2026,דגנים מיוחדים,66.16,39,11.56,45.62
2026,משחות שיניים,224.43,24,2.7,84.12
2026,שמפו,171.26,20,5.57,72.36
2026,בצקים קפואים,73.91,37,21.75,57.77
2026,יוגורט חלבון,305.26,4,,99.97
2026,מוצרלה טרייה,51.56,11,,88.34
2026,חמוצים טריים,2.26,5,7.08,80.98
2026,מחיות לתינוק,24.96,3,5.25,94.75
